Day,Month,Percentage,Rank
29,1,21.836209686979053,1
15,1,19.702726107621427,2
21,1,19.58041382314713,3
30,1,19.572931292565993,4
22,1,19.568150619535107,5
4,2,19.824773873877216,1
5,2,19.724573811111668,2
10,2,19.64430000372954,3
9,2,19.601864761149884,4
6,2,19.6000134462146,5
9,3,19.818872357026137,1
30,3,19.641567232750592,2
12,3,19.581624438920127,3
11,3,19.570233566718244,4
10,3,19.56733343581587,5
7,4,19.456269554817997,1
1,4,19.439107330878002,2
6,4,19.3991639831137,3
27,4,19.306388414643607,4
5,4,19.273309702970383,5
4,5,19.45314477000875,1
12,5,19.43960396912661,2
11,5,19.28322707402209,3
10,5,19.230092123348506,4
6,5,19.22714433407941,5
16,6,19.308355808593834,1
23,6,19.247823870672885,2
8,6,19.17339590901764,3
9,6,19.168779190113714,4
17,6,19.137251898695766,5
